####### Module map (module,file) #######
#repository;file;subsystem
torvalds/linux;include/math-emu/op-common.h;arch
torvalds/linux;include/math-emu/op-8.h;arch
torvalds/linux;include/math-emu/op-2.h;arch
torvalds/linux;include/math-emu/double.h;arch
torvalds/linux;include/math-emu/op-1.h;arch
torvalds/linux;include/math-emu/single.h;arch
torvalds/linux;include/math-emu/soft-fp.h;arch
torvalds/linux;include/math-emu/quad.h;arch
torvalds/linux;include/math-emu/op-4.h;arch
torvalds/linux;include/asm-generic/fb.h;arch
torvalds/linux;include/asm-generic/io.h;arch
torvalds/linux;include/asm-generic/Kbuild.asm;arch
torvalds/linux;include/asm-generic/word-at-a-time.h;arch
torvalds/linux;include/asm-generic/termios.h;arch
torvalds/linux;include/asm-generic/futex.h;arch
torvalds/linux;include/asm-generic/segment.h;arch
torvalds/linux;include/asm-generic/string.h;arch
torvalds/linux;include/asm-generic/dma-mapping-common.h;arch
torvalds/linux;include/asm-generic/bitops.h;arch
torvalds/linux;include/asm-generic/ptrace.h;arch
torvalds/linux;include/asm-generic/int-ll64.h;arch
torvalds/linux;include/asm-generic/atomic64.h;arch
torvalds/linux;include/asm-generic/io-64-nonatomic-hi-lo.h;arch
torvalds/linux;include/asm-generic/cacheflush.h;arch
torvalds/linux;include/asm-generic/irq_work.h;arch
torvalds/linux;include/asm-generic/cmpxchg.h;arch
torvalds/linux;include/asm-generic/hw_irq.h;arch
torvalds/linux;include/asm-generic/delay.h;arch
torvalds/linux;include/asm-generic/unaligned.h;arch
torvalds/linux;include/asm-generic/dma-mapping-broken.h;arch
torvalds/linux;include/asm-generic/device.h;arch
torvalds/linux;include/asm-generic/dma.h;arch
torvalds/linux;include/asm-generic/mmu.h;arch
torvalds/linux;include/asm-generic/qrwlock_types.h;arch
torvalds/linux;include/asm-generic/early_ioremap.h;arch
torvalds/linux;include/asm-generic/uaccess-unaligned.h;arch
torvalds/linux;include/asm-generic/param.h;arch
torvalds/linux;include/asm-generic/iomap.h;arch
torvalds/linux;include/asm-generic/topology.h;arch
torvalds/linux;include/asm-generic/dma-contiguous.h;arch
torvalds/linux;include/asm-generic/linkage.h;arch
torvalds/linux;include/asm-generic/kmap_types.h;arch
torvalds/linux;include/asm-generic/statfs.h;arch
torvalds/linux;include/asm-generic/pgalloc.h;arch
torvalds/linux;include/asm-generic/cputime_jiffies.h;arch
torvalds/linux;include/asm-generic/percpu.h;arch
torvalds/linux;include/asm-generic/irq.h;arch
torvalds/linux;include/asm-generic/mutex-dec.h;arch
torvalds/linux;include/asm-generic/fixmap.h;arch
torvalds/linux;include/asm-generic/serial.h;arch
torvalds/linux;include/asm-generic/pci_iomap.h;arch
torvalds/linux;include/asm-generic/parport.h;arch
torvalds/linux;include/asm-generic/vtime.h;arch
torvalds/linux;include/asm-generic/bitsperlong.h;arch
torvalds/linux;include/asm-generic/mmu_context.h;arch
torvalds/linux;include/asm-generic/cputime.h;arch
torvalds/linux;include/asm-generic/audit_change_attr.h;arch
torvalds/linux;include/asm-generic/vga.h;arch
torvalds/linux;include/asm-generic/ftrace.h;arch
torvalds/linux;include/asm-generic/irqflags.h;arch
torvalds/linux;include/asm-generic/4level-fixup.h;arch
torvalds/linux;include/asm-generic/simd.h;arch
torvalds/linux;include/asm-generic/siginfo.h;arch
torvalds/linux;include/asm-generic/libata-portmap.h;arch
torvalds/linux;include/asm-generic/irq_regs.h;arch
torvalds/linux;include/asm-generic/emergency-restart.h;arch
torvalds/linux;include/asm-generic/mutex.h;arch
torvalds/linux;include/asm-generic/cputime_nsecs.h;arch
torvalds/linux;include/asm-generic/signal.h;arch
torvalds/linux;include/asm-generic/audit_dir_write.h;arch
torvalds/linux;include/asm-generic/dma-coherent.h;arch
torvalds/linux;include/asm-generic/bugs.h;arch
torvalds/linux;include/asm-generic/kdebug.h;arch
torvalds/linux;include/asm-generic/pci-dma-compat.h;arch
torvalds/linux;include/asm-generic/msi.h;arch
torvalds/linux;include/asm-generic/seccomp.h;arch
torvalds/linux;include/asm-generic/trace_clock.h;arch
torvalds/linux;include/asm-generic/ioctl.h;arch
torvalds/linux;include/asm-generic/current.h;arch
torvalds/linux;include/asm-generic/pgtable-nopmd.h;arch
torvalds/linux;include/asm-generic/rwsem.h;arch
