####### Module map (module,file) #######
#repository;file;subsystem
torvalds/linux;include/asm-generic/module.h;arch
torvalds/linux;include/asm-generic/pci.h;arch
torvalds/linux;include/asm-generic/cache.h;arch
torvalds/linux;include/asm-generic/getorder.h;arch
torvalds/linux;include/asm-generic/memory_model.h;arch
torvalds/linux;include/asm-generic/checksum.h;arch
torvalds/linux;include/asm-generic/user.h;arch
torvalds/linux;include/asm-generic/cmpxchg-local.h;arch
torvalds/linux;include/asm-generic/barrier.h;arch
torvalds/linux;include/asm-generic/kvm_para.h;arch
torvalds/linux;include/asm-generic/exec.h;arch
torvalds/linux;include/asm-generic/gpio.h;arch
torvalds/linux;include/asm-generic/hardirq.h;arch
torvalds/linux;include/asm-generic/mutex-null.h;arch
torvalds/linux;include/asm-generic/syscall.h;arch
torvalds/linux;include/asm-generic/mm_hooks.h;arch
torvalds/linux;include/asm-generic/uaccess.h;arch
torvalds/linux;include/asm-generic/clkdev.h;arch
torvalds/linux;include/asm-generic/unistd.h;arch
torvalds/linux;include/asm-generic/switch_to.h;arch
torvalds/linux;include/asm-generic/local.h;arch
torvalds/linux;include/asm-generic/page.h;arch
torvalds/linux;include/asm-generic/bitops/lock.h;arch
torvalds/linux;include/asm-generic/bitops/builtin-__ffs.h;arch
torvalds/linux;include/asm-generic/bitops/builtin-__fls.h;arch
torvalds/linux;include/asm-generic/bitops/sched.h;arch
torvalds/linux;include/asm-generic/bitops/fls64.h;arch
torvalds/linux;include/asm-generic/bitops/hweight.h;arch
torvalds/linux;include/asm-generic/bitops/find.h;arch
torvalds/linux;include/asm-generic/bitops/ext2-atomic.h;arch
torvalds/linux;include/asm-generic/bitops/__fls.h;arch
torvalds/linux;include/asm-generic/bitops/fls.h;arch
torvalds/linux;include/asm-generic/bitops/le.h;arch
torvalds/linux;include/asm-generic/bitops/arch_hweight.h;arch
torvalds/linux;include/asm-generic/bitops/non-atomic.h;arch
torvalds/linux;include/asm-generic/bitops/ffs.h;arch
torvalds/linux;include/asm-generic/bitops/ext2-atomic-setbit.h;arch
torvalds/linux;include/asm-generic/bitops/builtin-fls.h;arch
torvalds/linux;include/asm-generic/bitops/builtin-ffs.h;arch
torvalds/linux;include/asm-generic/bitops/__ffs.h;arch
torvalds/linux;include/asm-generic/bitops/const_hweight.h;arch
torvalds/linux;include/asm-generic/bitops/count_zeros.h;arch
torvalds/linux;include/asm-generic/bitops/atomic.h;arch
torvalds/linux;include/asm-generic/bitops/ffz.h;arch
torvalds/linux;include/asm-generic/ide_iops.h;arch
torvalds/linux;include/asm-generic/scatterlist.h;arch
torvalds/linux;include/asm-generic/pgtable.h;arch
torvalds/linux;include/asm-generic/spinlock.h;arch
torvalds/linux;include/asm-generic/atomic-long.h;arch
torvalds/linux;include/asm-generic/tlbflush.h;arch
torvalds/linux;include/asm-generic/timex.h;arch
torvalds/linux;include/asm-generic/pgtable-nopud.h;arch
torvalds/linux;include/asm-generic/bug.h;arch
torvalds/linux;include/asm-generic/syscalls.h;arch
torvalds/linux;include/asm-generic/rtc.h;arch
torvalds/linux;include/asm-generic/div64.h;arch
torvalds/linux;include/asm-generic/preempt.h;arch
torvalds/linux;include/asm-generic/termios-base.h;arch
torvalds/linux;include/asm-generic/hugetlb.h;arch
torvalds/linux;include/asm-generic/mcs_spinlock.h;arch
torvalds/linux;include/asm-generic/audit_signal.h;arch
torvalds/linux;include/asm-generic/vmlinux.lds.h;arch
torvalds/linux;include/asm-generic/pci-bridge.h;arch
torvalds/linux;include/asm-generic/io-64-nonatomic-lo-hi.h;arch
torvalds/linux;include/asm-generic/atomic.h;arch
torvalds/linux;include/asm-generic/tlb.h;arch
torvalds/linux;include/asm-generic/mutex-xchg.h;arch
torvalds/linux;include/asm-generic/resource.h;arch
torvalds/linux;include/asm-generic/sections.h;arch
torvalds/linux;include/asm-generic/audit_write.h;arch
torvalds/linux;include/asm-generic/local64.h;arch
torvalds/linux;include/asm-generic/audit_read.h;arch
torvalds/linux;include/asm-generic/qrwlock.h;arch
torvalds/linux;include/asm-generic/sizes.h;arch
torvalds/linux;include/asm-generic/xor.h;arch
torvalds/linux;include/xen/hvm.h;arch
torvalds/linux;include/xen/xen-ops.h;arch
torvalds/linux;include/xen/events.h;arch
torvalds/linux;include/xen/balloon.h;arch
torvalds/linux;include/xen/tmem.h;arch
torvalds/linux;include/xen/page.h;arch
torvalds/linux;include/xen/xenbus_dev.h;arch
torvalds/linux;include/xen/platform_pci.h;arch
torvalds/linux;include/xen/interface/version.h;arch
torvalds/linux;include/xen/interface/sched.h;arch
torvalds/linux;include/xen/interface/callback.h;arch
torvalds/linux;include/xen/interface/xen-mca.h;arch
torvalds/linux;include/xen/interface/physdev.h;arch
torvalds/linux;include/xen/interface/nmi.h;arch
torvalds/linux;include/xen/interface/hvm/hvm_op.h;arch
torvalds/linux;include/xen/interface/hvm/params.h;arch
torvalds/linux;include/xen/interface/memory.h;arch
torvalds/linux;include/xen/interface/elfnote.h;arch
torvalds/linux;include/xen/interface/event_channel.h;arch
torvalds/linux;include/xen/interface/io/pciif.h;arch
torvalds/linux;include/xen/interface/io/protocols.h;arch
torvalds/linux;include/xen/interface/io/blkif.h;arch
torvalds/linux;include/xen/interface/io/vscsiif.h;arch
torvalds/linux;include/xen/interface/io/kbdif.h;arch
torvalds/linux;include/xen/interface/io/console.h;arch
torvalds/linux;include/xen/interface/io/xs_wire.h;arch
torvalds/linux;include/xen/interface/io/ring.h;arch
torvalds/linux;include/xen/interface/io/netif.h;arch
torvalds/linux;include/xen/interface/io/tpmif.h;arch
torvalds/linux;include/xen/interface/io/fbif.h;arch
torvalds/linux;include/xen/interface/io/xenbus.h;arch
torvalds/linux;include/xen/interface/vcpu.h;arch
torvalds/linux;include/xen/interface/grant_table.h;arch
torvalds/linux;include/xen/interface/xen.h;arch
torvalds/linux;include/xen/interface/features.h;arch
torvalds/linux;include/xen/interface/platform.h;arch
torvalds/linux;include/xen/grant_table.h;arch
torvalds/linux;include/xen/xen.h;arch
torvalds/linux;include/xen/features.h;arch
torvalds/linux;include/xen/hvc-console.h;arch
torvalds/linux;include/xen/xenbus.h;arch
torvalds/linux;include/xen/acpi.h;arch
torvalds/linux;include/xen/swiotlb-xen.h;arch
torvalds/linux;arch/ia64/uv/Makefile;arch
torvalds/linux;arch/ia64/uv/kernel/Makefile;arch
torvalds/linux;arch/ia64/uv/kernel/setup.c;arch
torvalds/linux;arch/ia64/uv/kernel/machvec.c;arch
torvalds/linux;arch/ia64/configs/generic_defconfig;arch
torvalds/linux;arch/ia64/configs/bigsur_defconfig;arch
torvalds/linux;arch/ia64/configs/gensparse_defconfig;arch
torvalds/linux;arch/ia64/configs/zx1_defconfig;arch
torvalds/linux;arch/ia64/configs/sim_defconfig;arch
torvalds/linux;arch/ia64/configs/tiger_defconfig;arch
torvalds/linux;arch/ia64/include/asm/fb.h;arch
torvalds/linux;arch/ia64/include/asm/io.h;arch
torvalds/linux;arch/ia64/include/asm/uv/uv_mmrs.h;arch
torvalds/linux;arch/ia64/include/asm/uv/uv.h;arch
torvalds/linux;arch/ia64/include/asm/uv/uv_hub.h;arch
torvalds/linux;arch/ia64/include/asm/native/inst.h;arch
torvalds/linux;arch/ia64/include/asm/native/irq.h;arch
torvalds/linux;arch/ia64/include/asm/native/pvchk_inst.h;arch
torvalds/linux;arch/ia64/include/asm/native/patchlist.h;arch
torvalds/linux;arch/ia64/include/asm/termios.h;arch
torvalds/linux;arch/ia64/include/asm/futex.h;arch
torvalds/linux;arch/ia64/include/asm/segment.h;arch
torvalds/linux;arch/ia64/include/asm/string.h;arch
torvalds/linux;arch/ia64/include/asm/bitops.h;arch
torvalds/linux;arch/ia64/include/asm/machvec_init.h;arch
torvalds/linux;arch/ia64/include/asm/ptrace.h;arch
torvalds/linux;arch/ia64/include/asm/machvec_dig_vtd.h;arch
torvalds/linux;arch/ia64/include/asm/machvec_hpzx1.h;arch
torvalds/linux;arch/ia64/include/asm/acenv.h;arch
torvalds/linux;arch/ia64/include/asm/cacheflush.h;arch
torvalds/linux;arch/ia64/include/asm/hw_irq.h;arch
torvalds/linux;arch/ia64/include/asm/delay.h;arch
torvalds/linux;arch/ia64/include/asm/unaligned.h;arch
torvalds/linux;arch/ia64/include/asm/device.h;arch
torvalds/linux;arch/ia64/include/asm/asmmacro.h;arch
torvalds/linux;arch/ia64/include/asm/dma.h;arch
torvalds/linux;arch/ia64/include/asm/acpi-ext.h;arch
torvalds/linux;arch/ia64/include/asm/asm-offsets.h;arch
torvalds/linux;arch/ia64/include/asm/mmu.h;arch
torvalds/linux;arch/ia64/include/asm/kregs.h;arch
torvalds/linux;arch/ia64/include/asm/param.h;arch
torvalds/linux;arch/ia64/include/asm/topology.h;arch
torvalds/linux;arch/ia64/include/asm/mca_asm.h;arch
torvalds/linux;arch/ia64/include/asm/mman.h;arch
torvalds/linux;arch/ia64/include/asm/linkage.h;arch
torvalds/linux;arch/ia64/include/asm/kmap_types.h;arch
torvalds/linux;arch/ia64/include/asm/pal.h;arch
torvalds/linux;arch/ia64/include/asm/iommu_table.h;arch
torvalds/linux;arch/ia64/include/asm/cpu.h;arch
torvalds/linux;arch/ia64/include/asm/pgalloc.h;arch
torvalds/linux;arch/ia64/include/asm/cyclone.h;arch
torvalds/linux;arch/ia64/include/asm/kexec.h;arch
torvalds/linux;arch/ia64/include/asm/percpu.h;arch
torvalds/linux;arch/ia64/include/asm/meminit.h;arch
torvalds/linux;arch/ia64/include/asm/irq.h;arch
torvalds/linux;arch/ia64/include/asm/serial.h;arch
torvalds/linux;arch/ia64/include/asm/sn/io.h;arch
torvalds/linux;arch/ia64/include/asm/sn/pcibus_provider_defs.h;arch
torvalds/linux;arch/ia64/include/asm/sn/mspec.h;arch
torvalds/linux;arch/ia64/include/asm/sn/tiocx.h;arch
torvalds/linux;arch/ia64/include/asm/sn/sn_cpuid.h;arch
torvalds/linux;arch/ia64/include/asm/sn/sn2/sn_hwperf.h;arch
torvalds/linux;arch/ia64/include/asm/sn/bte.h;arch
torvalds/linux;arch/ia64/include/asm/sn/sn_sal.h;arch
torvalds/linux;arch/ia64/include/asm/sn/shubio.h;arch
torvalds/linux;arch/ia64/include/asm/sn/shub_mmr.h;arch
torvalds/linux;arch/ia64/include/asm/sn/tiocp.h;arch
torvalds/linux;arch/ia64/include/asm/sn/pic.h;arch
torvalds/linux;arch/ia64/include/asm/sn/tioce_provider.h;arch
torvalds/linux;arch/ia64/include/asm/sn/tioce.h;arch
torvalds/linux;arch/ia64/include/asm/sn/arch.h;arch
torvalds/linux;arch/ia64/include/asm/sn/leds.h;arch
torvalds/linux;arch/ia64/include/asm/sn/addrs.h;arch
torvalds/linux;arch/ia64/include/asm/sn/module.h;arch
torvalds/linux;arch/ia64/include/asm/sn/tioca.h;arch
torvalds/linux;arch/ia64/include/asm/sn/sn_feature_sets.h;arch
torvalds/linux;arch/ia64/include/asm/sn/nodepda.h;arch
torvalds/linux;arch/ia64/include/asm/sn/tioca_provider.h;arch
torvalds/linux;arch/ia64/include/asm/sn/klconfig.h;arch
torvalds/linux;arch/ia64/include/asm/sn/intr.h;arch
torvalds/linux;arch/ia64/include/asm/sn/l1.h;arch
torvalds/linux;arch/ia64/include/asm/sn/types.h;arch
torvalds/linux;arch/ia64/include/asm/sn/simulator.h;arch
torvalds/linux;arch/ia64/include/asm/sn/pcidev.h;arch
torvalds/linux;arch/ia64/include/asm/sn/ioc3.h;arch
torvalds/linux;arch/ia64/include/asm/sn/clksupport.h;arch
torvalds/linux;arch/ia64/include/asm/sn/rw_mmr.h;arch
torvalds/linux;arch/ia64/include/asm/sn/pda.h;arch
torvalds/linux;arch/ia64/include/asm/sn/acpi.h;arch
torvalds/linux;arch/ia64/include/asm/sn/pcibr_provider.h;arch
torvalds/linux;arch/ia64/include/asm/sn/geo.h;arch
torvalds/linux;arch/ia64/include/asm/parport.h;arch
torvalds/linux;arch/ia64/include/asm/gcc_intrin.h;arch
torvalds/linux;arch/ia64/include/asm/smp.h;arch
torvalds/linux;arch/ia64/include/asm/mca.h;arch
torvalds/linux;arch/ia64/include/asm/mmu_context.h;arch
torvalds/linux;arch/ia64/include/asm/cputime.h;arch
torvalds/linux;arch/ia64/include/asm/vga.h;arch
torvalds/linux;arch/ia64/include/asm/ftrace.h;arch
torvalds/linux;arch/ia64/include/asm/paravirt_patch.h;arch
torvalds/linux;arch/ia64/include/asm/irqflags.h;arch
torvalds/linux;arch/ia64/include/asm/siginfo.h;arch
torvalds/linux;arch/ia64/include/asm/machvec_sn2.h;arch
torvalds/linux;arch/ia64/include/asm/libata-portmap.h;arch
torvalds/linux;arch/ia64/include/asm/irq_regs.h;arch
torvalds/linux;arch/ia64/include/asm/emergency-restart.h;arch
torvalds/linux;arch/ia64/include/asm/iosapic.h;arch
torvalds/linux;arch/ia64/include/asm/idle.h;arch
torvalds/linux;arch/ia64/include/asm/mutex.h;arch
torvalds/linux;arch/ia64/include/asm/signal.h;arch
torvalds/linux;arch/ia64/include/asm/agp.h;arch
torvalds/linux;arch/ia64/include/asm/shmparam.h;arch
torvalds/linux;arch/ia64/include/asm/bugs.h;arch
torvalds/linux;arch/ia64/include/asm/kdebug.h;arch
torvalds/linux;arch/ia64/include/asm/intrinsics.h;arch
torvalds/linux;arch/ia64/include/asm/uncached.h;arch
torvalds/linux;arch/ia64/include/asm/current.h;arch
torvalds/linux;arch/ia64/include/asm/rwsem.h;arch
torvalds/linux;arch/ia64/include/asm/module.h;arch
torvalds/linux;arch/ia64/include/asm/machvec_hpsim.h;arch
torvalds/linux;arch/ia64/include/asm/pci.h;arch
torvalds/linux;arch/ia64/include/asm/cache.h;arch
torvalds/linux;arch/ia64/include/asm/unwind.h;arch
torvalds/linux;arch/ia64/include/asm/elf.h;arch
torvalds/linux;arch/ia64/include/asm/swiotlb.h;arch
torvalds/linux;arch/ia64/include/asm/checksum.h;arch
torvalds/linux;arch/ia64/include/asm/user.h;arch
torvalds/linux;arch/ia64/include/asm/barrier.h;arch
torvalds/linux;arch/ia64/include/asm/kprobes.h;arch
torvalds/linux;arch/ia64/include/asm/dma-mapping.h;arch
torvalds/linux;arch/ia64/include/asm/gpio.h;arch
torvalds/linux;arch/ia64/include/asm/hardirq.h;arch
torvalds/linux;arch/ia64/include/asm/syscall.h;arch
torvalds/linux;arch/ia64/include/asm/sal.h;arch
torvalds/linux;arch/ia64/include/asm/uaccess.h;arch
torvalds/linux;arch/ia64/include/asm/fpswa.h;arch
torvalds/linux;arch/ia64/include/asm/unistd.h;arch
torvalds/linux;arch/ia64/include/asm/machvec_hpzx1_swiotlb.h;arch
torvalds/linux;arch/ia64/include/asm/mc146818rtc.h;arch
torvalds/linux;arch/ia64/include/asm/switch_to.h;arch
torvalds/linux;arch/ia64/include/asm/patch.h;arch
torvalds/linux;arch/ia64/include/asm/local.h;arch
torvalds/linux;arch/ia64/include/asm/page.h;arch
torvalds/linux;arch/ia64/include/asm/pgtable.h;arch
torvalds/linux;arch/ia64/include/asm/spinlock.h;arch
torvalds/linux;arch/ia64/include/asm/machvec_dig.h;arch
torvalds/linux;arch/ia64/include/asm/tlbflush.h;arch
torvalds/linux;arch/ia64/include/asm/paravirt.h;arch
torvalds/linux;arch/ia64/include/asm/timex.h;arch
torvalds/linux;arch/ia64/include/asm/machvec_uv.h;arch
torvalds/linux;arch/ia64/include/asm/types.h;arch
torvalds/linux;arch/ia64/include/asm/esi.h;arch
torvalds/linux;arch/ia64/include/asm/sparsemem.h;arch
torvalds/linux;arch/ia64/include/asm/numa.h;arch
torvalds/linux;arch/ia64/include/asm/bug.h;arch
torvalds/linux;arch/ia64/include/asm/nodedata.h;arch
torvalds/linux;arch/ia64/include/asm/spinlock_types.h;arch
torvalds/linux;arch/ia64/include/asm/div64.h;arch
torvalds/linux;arch/ia64/include/asm/dmi.h;arch
torvalds/linux;arch/ia64/include/asm/iommu.h;arch
torvalds/linux;arch/ia64/include/asm/msidef.h;arch
torvalds/linux;arch/ia64/include/asm/hugetlb.h;arch
torvalds/linux;arch/ia64/include/asm/machvec.h;arch
torvalds/linux;arch/ia64/include/asm/clocksource.h;arch
torvalds/linux;arch/ia64/include/asm/ustack.h;arch
torvalds/linux;arch/ia64/include/asm/perfmon.h;arch
torvalds/linux;arch/ia64/include/asm/paravirt_privop.h;arch
torvalds/linux;arch/ia64/include/asm/mmzone.h;arch
torvalds/linux;arch/ia64/include/asm/hpsim.h;arch
torvalds/linux;arch/ia64/include/asm/atomic.h;arch
torvalds/linux;arch/ia64/include/asm/thread_info.h;arch
torvalds/linux;arch/ia64/include/asm/Kbuild;arch
torvalds/linux;arch/ia64/include/asm/tlb.h;arch
torvalds/linux;arch/ia64/include/asm/acpi.h;arch
torvalds/linux;arch/ia64/include/asm/processor.h;arch
torvalds/linux;arch/ia64/include/asm/irq_remapping.h;arch
torvalds/linux;arch/ia64/include/asm/sections.h;arch
torvalds/linux;arch/ia64/include/asm/local64.h;arch
torvalds/linux;arch/ia64/include/asm/xor.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/termios.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/ioctls.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/ptrace.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/termbits.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/ptrace_offsets.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/setup.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/cmpxchg.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/posix_types.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/sockios.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/ucontext.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/param.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/break.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/intel_intrin.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/errno.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/msgbuf.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/mman.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/sembuf.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/poll.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/statfs.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/shmbuf.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/gcc_intrin.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/socket.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/bitsperlong.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/byteorder.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/sigcontext.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/siginfo.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/signal.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/intrinsics.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/ipcbuf.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/fpu.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/ioctl.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/perfmon_default_smpl.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/ia64regs.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/unistd.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/rse.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/types.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/ustack.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/perfmon.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/swab.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/auxvec.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/Kbuild;arch
torvalds/linux;arch/ia64/include/uapi/asm/stat.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/resource.h;arch
torvalds/linux;arch/ia64/include/uapi/asm/fcntl.h;arch
torvalds/linux;arch/ia64/Kconfig;arch
torvalds/linux;arch/ia64/Makefile;arch
torvalds/linux;arch/ia64/sn/include/ioerror.h;arch
torvalds/linux;arch/ia64/sn/include/tio.h;arch
torvalds/linux;arch/ia64/sn/include/xtalk/xwidgetdev.h;arch
torvalds/linux;arch/ia64/sn/include/xtalk/xbow.h;arch
torvalds/linux;arch/ia64/sn/include/xtalk/hubdev.h;arch
torvalds/linux;arch/ia64/sn/Makefile;arch
torvalds/linux;arch/ia64/sn/kernel/bte_error.c;arch
torvalds/linux;arch/ia64/sn/kernel/sn2/timer_interrupt.c;arch
torvalds/linux;arch/ia64/sn/kernel/sn2/io.c;arch
torvalds/linux;arch/ia64/sn/kernel/sn2/Makefile;arch
torvalds/linux;arch/ia64/sn/kernel/sn2/timer.c;arch
torvalds/linux;arch/ia64/sn/kernel/sn2/sn2_smp.c;arch
torvalds/linux;arch/ia64/sn/kernel/sn2/sn_hwperf.c;arch
torvalds/linux;arch/ia64/sn/kernel/sn2/cache.c;arch
torvalds/linux;arch/ia64/sn/kernel/sn2/sn_proc_fs.c;arch
torvalds/linux;arch/ia64/sn/kernel/sn2/prominfo_proc.c;arch
torvalds/linux;arch/ia64/sn/kernel/sn2/ptc_deadlock.S;arch
torvalds/linux;arch/ia64/sn/kernel/mca.c;arch
torvalds/linux;arch/ia64/sn/kernel/iomv.c;arch
torvalds/linux;arch/ia64/sn/kernel/Makefile;arch
torvalds/linux;arch/ia64/sn/kernel/pio_phys.S;arch
torvalds/linux;arch/ia64/sn/kernel/idle.c;arch
torvalds/linux;arch/ia64/sn/kernel/klconflib.c;arch
torvalds/linux;arch/ia64/sn/kernel/io_common.c;arch
torvalds/linux;arch/ia64/sn/kernel/setup.c;arch
torvalds/linux;arch/ia64/sn/kernel/msi_sn.c;arch
torvalds/linux;arch/ia64/sn/kernel/bte.c;arch
torvalds/linux;arch/ia64/sn/kernel/irq.c;arch
torvalds/linux;arch/ia64/sn/kernel/machvec.c;arch
torvalds/linux;arch/ia64/sn/kernel/io_init.c;arch
torvalds/linux;arch/ia64/sn/kernel/io_acpi_init.c;arch
torvalds/linux;arch/ia64/sn/kernel/huberror.c;arch
torvalds/linux;arch/ia64/sn/kernel/tiocx.c;arch
torvalds/linux;arch/ia64/sn/pci/tioce_provider.c;arch
torvalds/linux;arch/ia64/sn/pci/Makefile;arch
torvalds/linux;arch/ia64/sn/pci/pci_dma.c;arch
torvalds/linux;arch/ia64/sn/pci/tioca_provider.c;arch
torvalds/linux;arch/ia64/sn/pci/pcibr/Makefile;arch
torvalds/linux;arch/ia64/sn/pci/pcibr/pcibr_provider.c;arch
torvalds/linux;arch/ia64/sn/pci/pcibr/pcibr_ate.c;arch
torvalds/linux;arch/ia64/sn/pci/pcibr/pcibr_reg.c;arch
torvalds/linux;arch/ia64/sn/pci/pcibr/pcibr_dma.c;arch
torvalds/linux;arch/ia64/hp/sim/simserial.c;arch
torvalds/linux;arch/ia64/hp/sim/hpsim_ssc.h;arch
torvalds/linux;arch/ia64/hp/sim/simscsi.c;arch
torvalds/linux;arch/ia64/hp/sim/boot/Makefile;arch
torvalds/linux;arch/ia64/hp/sim/boot/bootloader.c;arch
torvalds/linux;arch/ia64/hp/sim/boot/fw-emu.c;arch
torvalds/linux;arch/ia64/hp/sim/boot/boot_head.S;arch
torvalds/linux;arch/ia64/hp/sim/boot/ssc.h;arch
torvalds/linux;arch/ia64/hp/sim/boot/bootloader.lds;arch
torvalds/linux;arch/ia64/hp/sim/Kconfig;arch
